Tiempo_Simulado(s),Posicion_X,Posicion_Y
10.6001,261.6433,630.0000
10.6501,261.6715,630.0000
10.7001,261.6997,630.0000
10.7501,261.7279,630.0000
10.8001,261.7560,630.0000
10.8501,261.7836,630.0000
10.9001,261.8109,630.0000
10.9501,261.8381,630.0000
11.0001,261.8652,630.0000
11.0501,261.8923,630.0000
11.1001,261.9195,630.0000
11.1501,261.9466,630.0000
11.2001,261.9737,630.0000
11.2501,262.0006,630.0000
11.3002,262.0275,630.0000
11.3502,262.0544,630.0000
11.4002,262.0814,630.0000
11.4502,262.1082,630.0000
11.5002,262.1349,630.0000
11.5502,262.1616,630.0000
11.6002,262.1883,630.0000
11.6502,262.2149,630.0000
11.7002,262.2414,630.0000
11.7502,262.2679,630.0000
11.8002,262.2944,630.0000
11.8502,262.3209,630.0000
11.9002,262.3472,630.0000
11.9502,262.3735,630.0000
12.0002,262.3997,630.0000
12.0502,262.4266,630.0000
12.1002,262.4555,630.0000
12.1502,262.4854,630.0000
12.2002,262.5156,630.0000
12.2502,262.5457,630.0000
12.3002,262.5758,630.0000
12.3502,262.6057,630.0000
12.4002,262.6357,630.0000
12.4502,262.6656,630.0000
12.5002,262.6955,630.0000
12.5502,262.7252,630.0000
12.6002,262.7549,630.0000
12.6502,262.7846,630.0000
12.7002,262.8143,630.0000
12.7502,262.8438,630.0000
12.8002,262.8733,630.0000
12.8502,262.9029,630.0000
12.9002,262.9326,630.0000
12.9502,262.9624,630.0000
13.0002,262.9923,630.0000
13.0502,263.0222,630.0000
13.1002,263.0523,630.0000
13.1502,263.0825,630.0000
13.2002,263.1126,630.0000
13.2502,263.1481,630.0000
13.3002,263.1895,630.0000
13.3502,263.2320,630.0000
13.4002,263.2745,630.0000
13.4502,263.3170,630.0000
13.5002,263.3605,630.0000
13.5502,263.4081,630.0000
13.6002,263.4597,630.0000
13.6502,263.5150,630.0000
13.7002,263.5725,630.0000
13.7502,263.6310,630.0000
13.8002,263.6895,630.0000
13.8502,263.7480,630.0000
13.9002,263.8066,630.0000
13.9502,263.8651,630.0000
14.0002,263.9235,630.0000
14.0502,263.9818,630.0000
14.1002,264.0402,630.0000
14.1502,264.0985,630.0000
14.2002,264.1568,630.0000
14.2502,264.2150,630.0000
14.3002,264.2731,630.0000
14.3502,264.3312,630.0000
14.4002,264.3893,630.0000
14.4502,264.4473,630.0000
14.5002,264.5052,630.0000
14.5502,264.5630,630.0000
14.6002,264.6208,630.0000
14.6502,264.6785,630.0000
14.7002,264.7361,630.0000
14.7502,264.7937,630.0000
14.8002,264.8512,630.0000
14.8502,264.9086,630.0000
14.9002,264.9660,630.0000
14.9502,265.0232,630.0000
15.0002,265.0805,630.0000
15.0502,265.1376,630.0000
15.1002,265.1946,630.0000
15.1502,265.2517,630.0000
15.2002,265.3086,630.0000
15.2502,265.3654,630.0000
15.3002,265.4222,630.0000
15.3502,265.4789,630.0000
15.4002,265.5355,630.0000
15.4502,265.5921,630.0000
15.5002,265.6486,630.0000
15.5502,265.7050,630.0000
15.6002,265.7613,630.0000
15.6503,265.8175,630.0000
15.7003,265.8737,630.0000
15.7503,265.9298,630.0000
15.8003,265.9857,630.0000
15.8503,266.0417,630.0000
15.9003,266.0975,630.0000
15.9503,266.1533,630.0000
16.0003,266.2090,630.0000
16.0503,266.2646,630.0000
16.1003,266.3201,630.0000
16.1503,266.3756,630.0000
16.2003,266.4309,630.0000
16.2503,266.4862,630.0000
16.3003,266.5414,630.0000
16.3503,266.5965,630.0000
16.4003,266.6516,630.0000
16.4503,266.7065,630.0000
16.5003,266.7614,630.0000
16.5503,266.8161,630.0000
16.6003,266.8708,630.0000
16.6503,266.9254,630.0000
16.7003,266.9799,630.0000
16.7503,267.0343,630.0000
16.8003,267.0886,630.0000
16.8503,267.1429,630.0000
16.9003,267.1971,630.0000
16.9503,267.2511,630.0000
17.0003,267.3051,630.0000
17.0503,267.3590,630.0000
17.1003,267.4128,630.0000
17.1503,267.4665,630.0000
17.2003,267.5201,630.0000
17.2503,267.5737,630.0000
17.3003,267.6271,630.0000
17.3503,267.6805,630.0000
17.4003,267.7373,630.0000
17.4503,267.8036,630.0000
17.5003,267.8785,630.0000
17.5503,267.9585,630.0000
17.6003,268.0403,630.0000
17.6503,268.1220,630.0000
17.7003,268.2036,630.0000
17.7503,268.2852,630.0000
17.8003,268.3666,630.0000
17.8503,268.4480,630.0000
17.9003,268.5294,630.0000
17.9503,268.6105,630.0000
18.0003,268.6917,630.0000
18.0503,268.7727,630.0000
18.1003,268.8537,630.0000
18.1503,268.9346,630.0000
18.2003,269.0154,630.0000
18.2503,269.0961,630.0000
18.3003,269.1768,630.0000
18.3503,269.2573,630.0000
18.4003,269.3379,630.0000
18.4503,269.4182,630.0000
18.5003,269.4986,630.0000
18.5503,269.5789,630.0000
18.6003,269.6591,630.0000
18.6503,269.7392,630.0000
18.7003,269.8193,630.0000
18.7503,269.8993,630.0000
18.8003,269.9792,630.0000
18.8503,270.0591,630.0000
18.9003,270.1389,630.0000
18.9503,270.2186,630.0000
19.0003,270.3010,630.0000
19.0503,270.3878,630.0000
19.1003,270.4764,630.0000
19.1503,270.5699,630.0000
19.2003,270.6681,630.0000
